Total players,152946,,,,,,,,,,
Global time,8104846207097,,SWARMED,IMPALED,GORED,OPENED,,,,,
Global kills,1256207100,,PURGED,DESECRATED,SACRIFICED,BARBED,,,,,
Global gems,226741388,,INTOXICATED,ENVENMONATED,INFESTED,,,,,,
Global deaths,11921280,,INCARNATED,ANNIHILATED,FALLEN,,,,,,
Global accuracy,,,,,,,,,,,
,,,,,,,,,,,
Rank,Username,Time,Kills,Gems,Accuracy,Death type,Total time,Total kills,Total gems,Total accuracy,Total deaths
1,Sojk,1073.9977,3884,1590,,GORED,1656905.6410,5462904,1758360,,4665
2,bowsr,1069.0308,3522,1600,,GORED,1035754.2463,3295341,1027574,,3526
3,Bintr,1038.3094,2929,1354,,ANNIHILATED,1202361.2510,2177842,693981,,81021
4,KrosisOne,1032.7906,3454,1423,,FALLEN,3072930.7915,8252448,2647457,,11031
5,A.N.T.4,1032.0046,3550,1417,,OPENED,1138235.2382,3441672,1049944,,3381
6,pocket,1031.8040,3557,1416,,IMPALED,562290.0506,1894490,552473,,1886
7,Kaijt,1017.9955,2961,1332,,INTOXICATED,737317.0276,2042989,640813,,2661
8,big brain,1017.9289,3132,1429,,GORED,1053035.0111,2560844,816904,,6216
9,xvlv,1002.9492,3299,1278,,FALLEN,1423097.2159,3503747,1230929,,4393
10,Chupacabra,982.5542,2691,1226,,PURGED,730471.7598,2050584,601914,,2913
11,glμm,980.7380,3053,1279,,PURGED,2487822.4632,6153570,2058399,,10611
12,aircawn,979.3883,3034,1212,,ANNIHILATED,1357314.3572,3623906,1183340,,4446
13,krak~,968.2410,2623,1211,,PURGED,1350733.3369,3326791,928137,,7156
14,bartholomov cubbins,949.6289,2738,1150,,GORED,85398.8576,212742,70678,,356
15,Blue53,944.6301,2748,1113,,SWARMED,1315580.9628,3467129,873416,,7489
16,satan,931.7833,2600,1134,,SWARMED,373444.6448,298291,88415,,59700
17,jay,913.8876,2507,989,,PURGED,483395.5124,1175849,326206,,2869
18,Moz,912.9379,2432,1099,,IMPALED,1023983.2836,2537360,854116,,3610
19,Emberstone,912.2214,2298,1125,,GORED,746839.0399,1719982,514697,,3912
20,Hahmo,911.9881,2457,1085,,OPENED,783627.8121,1930601,551542,,3942
21,Cobajj,911.8548,2544,1095,,GORED,1275430.8429,2995793,855473,,7259
22,Absolutely Not a Terrorist,905.8396,2428,986,,GORED,805816.6950,1900303,548736,,4570
23,ohsnaplol,905.4897,2419,999,,ANNIHILATED,615452.0172,1570662,440225,,2925
24,,905.4397,2599,1051,,PURGED,0.0000,0,0,,0
25,Dkazyo,892.5428,2287,1002,,GORED,566234.5405,1372410,416018,,2757
26,CCT,891.1265,2524,832,,OPENED,672096.9327,1728737,455020,,2939
27,wen n doubt blame curry,872.3311,2149,1063,,BARBED,836663.4414,1999260,535304,,4935
28,gkubiski,866.0826,2148,959,,IMPALED,1528354.7634,3869542,1016569,,8996
29,buggie,852.4360,2192,939,,PURGED,179632.4584,433063,153899,,646
30,Littlebert,852.3027,2211,964,,SWARMED,2763394.7032,6844638,1819620,,14694
31,Myrmeleon,851.0363,1995,863,,SWARMED,756692.1957,1830349,539819,,4078
32,aiunzovovor,848.3703,2191,868,,OPENED,747189.1190,2072937,614054,,2826
33,ThePassiveDada,845.1711,1946,868,,PURGED,525081.2183,1103359,337230,,2899
34,DanielJMus,844.5712,2256,813,,GORED,804812.4672,2005592,528862,,4629
35,D3D%D¿D½DD,839.7391,1938,900,,GORED,364342.9096,772608,226144,,2094
36,ancient_geometrist,838.9559,1941,915,,IMPALED,730459.3081,1619176,476547,,3854
37,playthis,837.7729,1958,880,,PURGED,589584.9274,1403818,381385,,3636
38,think,831.5244,2156,824,,ANNIHILATED,841078.5206,1957381,480080,,7229
39,bob from food use,808.5800,2076,885,,SWARMED,10074.9996,25609,8927,,33
40,El Twig,797.6493,1871,752,,ANNIHILATED,278631.0556,630582,165280,,1767
41,X-ray,797.3994,2237,795,,GORED,1027114.6271,2877872,667424,,6750
42,Faad3e_,797.1328,1803,785,,BARBED,281149.4948,681783,181076,,1447
43,LolVeR,766.2737,1994,617,,INTOXICATED,327069.0847,842251,201009,,2121
44,Do you like Ghostpedes?,756.6927,1853,585,,GORED,56061.4792,127313,42237,,227
45,Esty was here,754.8764,1703,750,,IMPALED,594810.4003,1425141,374536,,3336
46,Zirtonic,751.4773,1714,797,,OPENED,345838.8949,752452,225971,,1647
47,pagedMov,746.1286,1666,707,,SWARMED,503548.3795,1100584,326973,,2892
48,Evendium,738.4638,1782,714,,FALLEN,658709.4982,1569316,401032,,4224
49,poogi,736.1310,1688,610,,BARBED,550554.3410,1201804,342646,,3205
50,hikikon,733.3817,1747,695,,SWARMED,504626.1540,1266330,326933,,3086
51,oxysofts,728.7995,1883,688,,FALLEN,466441.5143,1203481,295728,,2795
52,gLad,682.8607,1801,569,,SWARMED,409800.9061,869348,259324,,1916
53,lvl100WIZARD,682.7274,1519,685,,SWARMED,682.7274,1519,685,,1
54,MisterToast,681.6943,1700,470,,SWARMED,863598.2207,1871201,539263,,4680
55,Lady Hawke,679.2116,1362,702,,SWARMED,7911.6987,11021,1827,,130
56,Arizart,676.8788,1982,669,,IMPALED,1651678.1862,4580246,1093622,,9318
57,JoeDD,654.3510,1634,624,,SWARMED,785436.2361,2235134,498869,,5571
58,apollo,630.2235,1565,544,,BARBED,530573.0540,1142102,301573,,3352
59,BR internet > NA Internet,625.7413,1788,466,,ANNIHILATED,232812.6682,539654,132102,,1382
60,Flaming Bag of Shit,619.6261,1712,394,,FALLEN,356755.9204,843845,198662,,2357
61,bouliiii,618.8930,1490,465,,INFESTED,1178414.4991,2826791,746432,,5566
62,LukeNukem,612.1446,1461,498,,SWARMED,1075948.3372,2834448,598698,,7583
63,badumtzzz #perniciem,560.9238,1551,378,,ANNIHILATED,487467.2612,1129374,296296,,2583
64,Noose,555.1585,1354,415,,FALLEN,609828.3682,1579847,374017,,3856
65,Legion,546.2607,1907,358,,SWARMED,584271.8552,1413850,356945,,3328
66,AnimalPlanet,535.8466,1500,429,,SWARMED,850919.3745,1835932,491259,,5238
67,Taake,535.1801,1336,396,,FALLEN,832907.1974,1880263,428888,,5531
68,nja,534.5360,1634,365,,IMPALED,520266.9825,1252950,261311,,3921
69,Wakatau,533.0806,1492,427,,IMPALED,892139.2228,2146433,492657,,5885
70,Nyhylanth,530.3479,1263,402,,INFESTED,484113.8766,1114917,333083,,2032
71,ratsoup,529.0149,1509,431,,SWARMED,340717.3066,739243,161288,,2905
72,Worm,526.4489,1296,367,,FALLEN,146378.2492,343291,102698,,590
73,TakezÅ,525.9657,1730,361,,DESECRATED,170559.0140,339074,102757,,942
74,Whoneedspacee,525.7324,1198,392,,SWARMED,121502.1487,245031,65120,,681
75,Rubber Johnny,522.9831,1421,390,,FALLEN,323944.1413,841851,186713,,2103
76,yokshu,522.2666,1518,360,,OPENED,502954.0277,1356232,277622,,3446
77,Knight,521.8000,1302,390,,SWARMED,298586.2458,667919,161309,,1965
78,theDGC,521.7167,1255,421,,FALLEN,875029.6244,1993840,612729,,3668
79,Gold,520.1004,1355,339,,PURGED,753008.5755,1732980,375250,,5989
80,Chewyy,518.9674,1181,403,,PURGED,298511.4393,654022,177119,,1669
81,Grink,517.3344,1130,352,,ANNIHILATED,565176.6785,1105810,303095,,3148
82,DJ Doomz,513.4854,1373,392,,INCARNATED,262677.0745,591187,144364,,1590
83,DeepFear,513.4021,1393,400,,SWARMED,153857.1587,296455,75999,,976
84,joseph3000,511.7358,1249,371,,GORED,976999.0123,2226114,553029,,6702
85,uNKOE @ ,511.1526,1301,428,,SWARMED,179395.3543,392344,99906,,987
86,Diplodocus,511.0550,1088,372,,SWARMED,205083.2454,482667,124923,,1001
87,miZt-,510.8527,1408,399,,FALLEN,619220.2239,1781338,363277,,3911
88,Stiel,509.5030,1071,338,,FALLEN,308905.9736,716517,153107,,2050
89,Luc Rtardo,508.9198,1182,334,,INTOXICATED,359704.4926,810996,197375,,2157
90,Pralkarz,508.0367,1298,374,,ANNIHILATED,238117.5299,495940,135591,,1248
91,Mixed,507.7535,1469,447,,INTOXICATED,529785.8446,1519885,305382,,4021
92,heyzeus =D,507.6035,1213,364,,GORED,167647.8910,392966,107945,,758
93,a___,507.4369,1079,363,,ANNIHILATED,288601.1479,566240,153733,,1806
94,a~_Giylisa~_,506.8037,1311,432,,SWARMED,463441.9255,1147987,280972,,2769
95,Stephanstein,506.7704,1145,351,,FALLEN,167269.9308,353183,98739,,1080
96,Pritster,506.3038,1098,361,,OPENED,1032128.5674,1953766,630250,,4590
97,n2k,506.0872,1341,344,,OPENED,353098.0241,832738,173871,,2267
98,harkken,505.6706,1348,363,,FALLEN,842240.1602,2032324,465859,,5437
99,karppi,504.6209,1187,435,,BARBED,261792.5769,543714,143228,,1683
100,PILGR1M,504.4209,1180,383,,GORED,728669.5670,1622702,384794,,5073